Species,Family,Clade,type_of_care,number_of_parents,care_duration,care_duration_in_males,care_in_males_binary,care_duration_in_females,care_in_females_binary,protection,protection_in_males,protection_in_females,nourishment_by_females,nourishment_by_females_binary,terrestrial_reproduction,direct_development,female_SVL_,male_SVL,average_male_female_SVL,SSD,Egg_diameter,Clutch_size,Clutch_volume
Eleutherodactylus tetajulia,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,14,12,13,_0.07,NA,NA,NA
Eleutherodactylus unicolor,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus varleyi,Eleutherodactylidae,Terrarana,female_only care ,1,1,0,0,1,1,2,0,2,2,1,1,present,16.25,14,15.13,_0.06,3.715352291,4,44.16
Eleutherodactylus ventrilineatus,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Eleutherodactylus wightmanae,Eleutherodactylidae,Terrarana,male_only care ,1,1,1,1,NA,NA,2,2,NA,0,0,NA,absent,NA,NA,NA,NA,4.365158322,30,453.86
Engystomops petersi,Leptodactylidae,Diphyabatracea,biparental care,2,1,1,1,1,1,1,1,1,0,0,1,absent,34,NA,NA,NA,1,300,235.5
Engystomops pustulatus,Leptodactylidae,Diphyabatracea,female_only care ,1,2,0,0,2,1,2,0,2,0,0,NA,absent,31,28.5,29.75,_0.04,NA,320,NA
Engystomops pustulosus,Leptodactylidae,Diphyabatracea,biparental care,2,2,1,1,2,1,2,1,2,0,0,1,absent,30.5,NA,NA,NA,1.513561248,265,468.06
Epidalea calamita,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,61,NA,NA,NA,1.380384265,3560,5283.54
Epipedobates anthonyi,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,20,18.1,19.05,_0.04,1.995262315,27.5,86.35
Epipedobates boulengeri,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,18.5,16.9,17.7,_0.04,NA,NA,NA
Epipedobates espinosai,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Epipedobates machalilla,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,17.6,NA,NA,NA,2.290867653,15,62.29
Epipedobates tricolor,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,23.3,21,22.15,_0.05,NA,16,NA
Espadarana prosoblepon,Centrolenidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,26.95,24.1,25.53,_0.05,10,26.25,2060.63
Euphlyctis cyanophlyctis,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,53.38,67,60.19,0.1,1.096478196,844,801.67
Euphlyctis hexadactylus,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,130,NA,NA,NA,1,2000,1570
Eupsophus calcaratus,Alsodidae,Crown Hyloidea,male_only care ,1,2,2,1,0,0,2,2,0,2,1,0,absent,NA,NA,NA,NA,NA,NA,NA
Exerodonta juanitae,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.187761624,NA,NA
Exerodonta sumichrasti,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,30.2,26.2,28.2,_0.06,1.621810097,NA,NA
Feihyla vittata,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,25.7,23.6,24.65,_0.04,1.513561248,217,383.28
Fejervarya cancrivora,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,74.3,58.8,66.55,_0.1,1.548816619,318,609.45
Fejervarya limnocharis,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,48.8,39,43.9,_0.1,1.071519305,1560,1388.97
Fejervarya nicobariensis,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,50.1,42.8,46.45,_0.07,NA,NA,NA
Flectonotus fissilis,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,3.01995172,NA,NA
Flectonotus fitzgeraldi,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,2,1,1,absent,21.4,NA,NA,NA,3.311311215,4,34.19
Flectonotus pygmaeus,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,2,1,1,absent,29.05,NA,NA,NA,3.467368505,8,76.93
Fritziana goeldii,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,3.981071706,NA,NA
Gastrophryne carolinensis,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,28,NA,NA,NA,1.148153621,1225,1271.75
Gastrophryne olivacea,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,30.5,NA,NA,NA,0.977237221,998.5,764.35
Gastrotheca argenteovirens,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,0,0,NA,absent,NA,NA,NA,NA,3.01995172,NA,NA
Gastrotheca cornuta,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,2,1,1,present,75.5,NA,NA,NA,10,10,769.38
Gastrotheca fissipes,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,2,1,1,present,81,NA,NA,NA,10,24,1884
Gastrotheca galeata,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,4,0,4,2,1,1,present,52,NA,NA,NA,5.011872336,20,392.5
Gastrotheca marsupiata,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,0,0,1,absent,42,NA,NA,NA,2.13796209,138,489.18
Gastrotheca microdiscus,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,4,0,4,2,1,NA,present,NA,NA,NA,NA,7.943282347,NA,NA
Gastrotheca monticola,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,3.01995172,NA,NA
Gastrotheca ovifera,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,7.943282347,NA,NA
Gastrotheca plumbea,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,3.981071706,NA,NA
Gastrotheca riobambae,Hemiphractidae,Hemiphractidae,female_only care ,1,2,0,0,2,1,4,0,4,NA,NA,NA,absent,NA,NA,NA,NA,3.01995172,NA,NA
Geobatrachus walkeri,Leptodactylidae,Diphyabatracea,female_only care ,1,1,0,0,1,1,2,0,2,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Geocrinia laevis,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.454708916,NA,NA
Geocrinia leai,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.862087137,NA,NA
Geocrinia rosea,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.344228815,NA,NA
Geocrinia victoriana,Myobatrachidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,25.5,NA,NA,NA,2.630267992,116,639.47
Gephyromantis webbi,Mantellidae,Natatanura,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,30.5,NA,NA,NA,3.981071706,7,87.92
Glandirana emeljanovi,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,55.4,46,50.7,_0.08,1.819700859,1130,2874.04
Glandirana minima,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,29.05,27,28.03,_0.03,1.288249552,262,334.34
Glandirana rugosa,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,48.6,42.8,45.7,_0.06,1.659586907,986.5,2172.68
Glandirana tientaiensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,31.3,30.7,31,_0.01,1.513561248,1350,2384.44
Glyphoglossus guttulatus,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Gracixalus gracilipes,Rhacophoridae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,29.5,22,25.75,_0.13,2.691534804,NA,NA
Guibemantis bicalcaratus,Mantellidae,Natatanura,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,1.905460718,NA,NA
Guibemantis depressiceps,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,35,NA,NA,NA,2.818382931,70,438.54
Guibemantis liber,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,27.5,NA,NA,NA,1.412537545,60,92.32
Guibemantis tornieri,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,48.5,NA,NA,NA,2.290867653,70,290.69
Haddadus binotatus,Craugastoridae,Terrarana,no care,0,0,0,0,0,0,0,0,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Hamptophryne boliviana,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,41.5,NA,NA,NA,1.122018454,231,229.5
Heleioporus australiacus,Limnodynastidae,Australobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,77,80,78.5,0.02,2.511886432,400,1962.5
Heleophryne purcelli,Heleophrynidae,Heleophrynidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,51.5,NA,NA,NA,3.548133892,129,1276.19
Heleophryne regis,Heleophrynidae,Heleophrynidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,46.5,NA,NA,NA,3.630780548,155.5,1581.99
Hemiphractus fasciatus,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,3,0,3,2,1,NA,present,NA,NA,NA,NA,6.45654229,NA,NA
Hemiphractus helioi,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,3,0,3,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Hemiphractus proboscideus,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,3,0,3,2,1,1,present,59.5,NA,NA,NA,2.511886432,26,127.56
Hemiphractus scutatus,Hemiphractidae,Hemiphractidae,female_only care ,1,3,0,0,3,1,3,0,3,2,1,1,present,74.5,NA,NA,NA,10,13.5,1059.75
Hemisus guineensis,Hemisotidae,Afrobatrachia,female_only care ,1,2,0,0,2,1,3,0,3,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hemisus guttatus,Hemisotidae,Afrobatrachia,female_only care ,1,2,0,0,2,1,3,0,3,0,0,NA,absent,NA,NA,NA,NA,2.511886432,NA,NA
Hemisus marmoratus,Hemisotidae,Afrobatrachia,female_only care ,1,2,0,0,2,1,3,0,3,0,0,1,absent,37.4,27.9,32.65,_0.13,2.884031503,182.5,1175.93
Heterixalus alboguttatus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,31.5,NA,NA,NA,1.513561248,500,883.13
Heterixalus betsileo,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,24,NA,NA,NA,1.584893192,132,265.27
Heterixalus luteostriatus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hildebrandtia ornata,Ptychadenidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,67.3,NA,NA,NA,2.344228815,1336,5791.78
Hoplobatrachus occipitalis,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,132.5,NA,NA,NA,4.466835922,2110.5,33177.3
Hoplobatrachus rugulosus,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,71.7,82.4,77.05,0.06,1.819700859,2000,5086.8
Hoplobatrachus tigerinus,Dicroglossidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,137.5,NA,NA,NA,2.290867653,2400,9966.36
Hoplophryne rogersi,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,29.5,NA,NA,NA,3.01995172,6,42.39
Hoplophryne uluguruensis,Microhylidae,Microhylidae,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,21,25,23,0.08,2.754228703,28,166.22
Huia cavitympanum,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium aureoguttatum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium bergeri,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium chirripoi,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,29,25.5,27.25,_0.06,NA,70,NA
Hyalinobatrachium colymbiphyllum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,26.65,25,25.83,_0.03,1.621810097,50,103.64
Hyalinobatrachium fleischmanni,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,27.5,22.4,24.95,_0.09,1.995262315,28.25,88.71
Hyalinobatrachium mondolfii,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium orientale,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium pallidum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium pellucidum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyalinobatrachium talamancae,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,25,23.5,24.25,_0.03,1.995262315,27.75,87.14
Hyalinobatrachium valerioi,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,24.28,21.8,23.04,_0.05,2.041737945,33.75,111.34
Hyalinobatrachium vireovittatum,Centrolenidae,Diphyabatracea,male_only care ,1,1,1,1,0,0,2,2,0,0,0,1,absent,24.5,22.75,23.63,_0.03,NA,NA,NA
Hydrophylax malabaricus,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Hyla andersonii,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,41.25,35.5,38.38,_0.07,1.288249552,700,928.66
Hyla arborea,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,36.5,24.8,30.65,_0.17,1.348962883,1191,1703.92
Hyla arenicolor,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,47.2,35.3,41.25,_0.13,2.089296131,NA,NA
Hyla avivoca,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,41.25,33.5,37.38,_0.09,1.174897555,621,684.54
Hyla chinensis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,37.1,30.6,33.85,_0.08,1.288249552,233.25,297.65
Hyla chrysoscelis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,44,39.5,41.75,_0.05,1.174897555,1750,1896.63
Hyla cinerea,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,52.95,53.1,53.03,0,1.202264435,1543.5,1744.77
Hyla euphorbiacea,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,36.4,34.7,35.55,_0.02,NA,NA,NA
Hyla eximia,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,28.5,27.8,28.15,_0.01,NA,NA,NA
Hyla femoralis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,33,30.5,31.75,_0.03,0.954992586,1400,991.85
Hyla gratiosa,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,59.75,58.5,59.13,_0.01,1.659586907,2750,6056.64
Hyla japonica,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,30.75,32.7,31.73,0.03,1.621810097,920,1907.06
Hyla meridionalis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,43,NA,NA,NA,1.513561248,900,1643.05
Hyla savignyi,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.288249552,600,795.99
Hyla squirella,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,31.75,29.5,30.63,_0.03,0.891250938,975.5,620.27
Hyla versicolor,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,46.25,41.5,43.88,_0.05,1.288249552,1800,2297.01
Hyla wrightorum,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,36,34,35,_0.02,1.202264435,NA,NA
Hylarana albolabris,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Hylarana chalconota,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Hylarana erythraea,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,65.7,39.7,52.7,_0.22,1.995262315,NA,NA
Hylarana latouchii,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,51,37.5,44.25,_0.13,1.479108388,1154,1950.89
Hylarana signata,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,56.2,39.4,47.8,_0.15,1.698243652,NA,NA
Hylarana taipehensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,39,29,34,_0.13,1.202264435,189,213.65
Hylodes dactylocinus,Hylodidae,Crown Hyloidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Hylophorbus rufescens,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,40.5,30,35.25,_0.13,5.754399373,13,331.56
Hyloscirtus palmeri,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,43,40.5,41.75,_0.03,NA,NA,NA
Hyloscirtus phyllognathus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,36.9,33,34.95,_0.05,3.090295433,NA,NA
Hyloscirtus simmonsi,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,44.3,36.6,40.45,_0.08,NA,NA,NA
Hyloxalus anthracinus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyloxalus awa,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,22.5,19.3,20.9,_0.07,NA,12.5,NA
Hyloxalus azureiventris,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,14,NA
Hyloxalus delatorreae,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyloxalus elachyhistus,Dendrobatidae,Agastorophrynia,biparental care,2,2,2,1,2,1,3,3,3,0,0,NA,absent,21.2,18.3,19.75,_0.06,NA,19,NA
Hyloxalus exasperatus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,21,18.75,19.88,_0.05,NA,NA,NA
Hyloxalus fascianigrus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyloxalus patitae,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyloxalus pulchellus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,22,19.5,20.75,_0.05,NA,NA,NA
Hyloxalus sauli,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,23.5,NA,NA,NA,1.513561248,11,19.43
Hyloxalus toachi,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,26.5,20.5,23.5,_0.11,NA,NA,NA
Hyloxalus vergeli,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyloxalus vertebralis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,17.9,16.1,17,_0.05,3.01995172,NA,NA
Hymenochirus boettgeri,Pipidae,Xenoanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,NA,NA,NA,0.891250938,624.5,386.13
Hyperolius acuticeps,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,25,NA,NA,NA,0.954992586,176,124.69
Hyperolius argus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,30.5,NA,NA,NA,1,115,90.28
Hyperolius castaneus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,30.5,NA,NA,NA,1,125,98.13
Hyperolius cinnamomeoventris,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Hyperolius concolor,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,35,NA,NA,NA,1.9498446,250,746.24
Hyperolius frontalis,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,32,NA,NA,NA,5.011872336,24,471
Hyperolius kivuensis,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,36,NA,NA,NA,1.513561248,190,335.59
Hyperolius lateralis,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,25.6,23,24.3,_0.05,1.819700859,109,277.23
Hyperolius nasutus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,21.85,22.3,22.08,0.01,0.954992586,200,141.69
Hyperolius parkeri,Hyperoliidae,Afrobatrachia,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hyperolius puncticulatus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,25,30,_0.15,2.511886432,19,93.22
Hyperolius pusillus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,22,NA,NA,NA,0.891250938,70,44.51
Hyperolius semidiscus,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,NA,NA,NA,1,30,23.55
Hyperolius spinigularis,Hyperoliidae,Afrobatrachia,female_only care ,1,1,0,0,1,1,2,0,2,0,0,NA,absent,NA,NA,NA,NA,NA,175,NA
Hyperolius tuberilinguis,Hyperoliidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,36,NA,NA,NA,1.445439771,334,551.25
Hypopachus variolosus,Microhylidae,Microhylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,NA,NA,NA,1.122018454,700,695.46
Hypsiboas albomarginatus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,52.78,48.6,50.69,_0.04,1.905460718,765.5,2169.31
Hypsiboas andinus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,49.8,46.5,48.15,_0.03,NA,NA,NA
Hypsiboas boans,Hylidae,Hylidae,male_only care ,1,1,1,1,0,0,2,2,0,0,0,0,absent,107,114,110.5,0.03,1.995262315,2227,6992.78
Hypsiboas calcaratus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,53.9,35.9,44.9,_0.18,1.513561248,1143,2018.82
Hypsiboas cinerascens,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,42.35,39,40.68,_0.04,1.548816619,633,1193.81
Hypsiboas crepitans,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,65.5,53.9,59.7,_0.08,1.513561248,1064,1879.29
Hypsiboas faber,Hylidae,Hylidae,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,NA,NA,NA,NA,1.513561248,NA,NA
Hypsiboas fasciatus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,47.35,35.6,41.48,_0.12,1.513561248,1162,2052.38
Hypsiboas geographicus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,67.05,44.2,55.63,_0.18,1.513561248,2498.5,4412.98
Hypsiboas heilprini,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,49.3,49.4,49.35,0,NA,NA,NA
Hypsiboas lanciformis,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,87.75,74.9,81.33,_0.07,1.995262315,1933.5,6071.19
Hypsiboas lemai,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,34.7,29.6,32.15,_0.07,2.511886432,54,264.94
Hypsiboas marginatus,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Hypsiboas pardalis,Hylidae,Hylidae,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,70,60,65,_0.07,NA,NA,NA
Hypsiboas polytaenius,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,150,NA
